,event
2023-09-27 14:31:39.977572,arm a correct
2023-09-27 14:31:44.692330,module1 lick 36
2023-09-27 14:31:44.802535,module1 lick 37
2023-09-27 14:31:44.928795,module1 lick 38
2023-09-27 14:31:45.896453,module1 lick 39
2023-09-27 14:31:46.162505,module1 lick 40
2023-09-27 14:31:48.275822,module1 lick 41
2023-09-27 14:31:48.463997,module1 lick 42
2023-09-27 14:31:48.652455,module1 lick 43
2023-09-27 14:31:48.823765,module1 lick 44
2023-09-27 14:32:10.351099,arm b correct
2023-09-27 14:32:16.236081,module2 lick 9
2023-09-27 14:32:42.419416,arm a correct
2023-09-27 14:32:46.546478,module1 lick 45
2023-09-27 14:32:46.640391,module1 lick 46
2023-09-27 14:32:46.765615,module1 lick 47
2023-09-27 14:32:46.907346,module1 lick 48
2023-09-27 14:32:47.048839,module1 lick 49
2023-09-27 14:32:47.174454,module1 lick 50
2023-09-27 14:32:47.205576,module1 lick 51
2023-09-27 14:32:47.283431,module1 lick 52
2023-09-27 14:32:47.361304,module1 lick 53
2023-09-27 14:32:47.377235,module1 lick 54
2023-09-27 14:32:47.677048,module1 lick 55
2023-09-27 14:32:47.831875,module1 lick 56
2023-09-27 14:32:47.988895,module1 lick 57
2023-09-27 14:33:20.155524,arm b correct
2023-09-27 14:33:24.429857,module2 lick 10
2023-09-27 14:33:24.555316,module2 lick 11
2023-09-27 14:33:24.679931,module2 lick 12
2023-09-27 14:33:24.756439,module2 lick 13
2023-09-27 14:33:24.896659,module2 lick 14
2023-09-27 14:33:25.023133,module2 lick 15
2023-09-27 14:33:25.086048,module2 lick 16
2023-09-27 14:33:25.163843,module2 lick 17
2023-09-27 14:33:25.307843,module2 lick 18
2023-09-27 14:33:25.493604,module2 lick 19
2023-09-27 14:33:25.647829,module2 lick 20
2023-09-27 14:33:25.804755,module2 lick 21
2023-09-27 14:33:26.008596,module2 lick 22
2023-09-27 14:33:26.038657,module2 lick 23
2023-09-27 14:33:26.132392,module2 lick 24
2023-09-27 14:33:26.291046,module2 lick 25
2023-09-27 14:33:26.492898,module2 lick 26
2023-09-27 14:33:26.649435,module2 lick 27
2023-09-27 14:33:26.805366,module2 lick 28
2023-09-27 14:33:26.852077,module2 lick 29
2023-09-27 14:33:27.024382,module2 lick 30
2023-09-27 14:33:38.028061,module2 lick 31
2023-09-27 14:33:38.139458,module2 lick 32
2023-09-27 14:34:22.078698,arm a correct
2023-09-27 14:34:25.420679,module1 lick 58
2023-09-27 14:34:25.560805,module1 lick 59
2023-09-27 14:34:25.702320,module1 lick 60
2023-09-27 14:34:25.985763,module1 lick 61
2023-09-27 14:35:36.776024,arm b correct
2023-09-27 14:35:42.214344,module2 lick 33
2023-09-27 14:35:42.338546,module2 lick 34
2023-09-27 14:35:42.462343,module2 lick 35
2023-09-27 14:35:42.601215,module2 lick 36
2023-09-27 14:35:42.744661,module2 lick 37
2023-09-27 14:35:43.039238,module2 lick 38
2023-09-27 14:35:43.213473,module2 lick 39
2023-09-27 14:35:43.371370,module2 lick 40
2023-09-27 14:35:43.558318,module2 lick 41
2023-09-27 14:39:49.541288,module1 lick 62
2023-09-27 14:39:49.652790,module1 lick 63
2023-09-27 14:39:49.729682,module1 lick 64
2023-09-27 14:39:49.946234,module1 lick 65
2023-09-27 14:39:50.400750,module1 lick 66
2023-09-27 14:39:50.573447,module1 lick 67
2023-09-27 15:13:35.556680,arm a correct
2023-09-27 15:13:41.567622,module1 lick 68
2023-09-27 15:13:42.704864,module1 lick 69
2023-09-27 15:13:42.781943,module1 lick 70
2023-09-27 15:13:42.830113,module1 lick 71
2023-09-27 15:13:43.551285,module1 lick 72
2023-09-27 15:14:32.265564,arm b correct
2023-09-27 15:14:37.129504,module2 lick 42
2023-09-27 15:16:26.681907,arm a correct
2023-09-27 15:16:36.334356,module1 lick 73
2023-09-27 15:16:36.507594,module1 lick 74
2023-09-27 15:16:36.696761,module1 lick 75
2023-09-27 15:16:38.380337,module1 lick 76
2023-09-27 15:16:38.647164,module1 lick 77
2023-09-27 15:16:42.981060,module1 lick 78
2023-09-27 15:16:43.043813,module1 lick 80
2023-09-27 15:17:58.716571,arm b correct
2023-09-27 15:19:21.203430,arm a correct
2023-09-27 15:19:25.761765,module1 lick 81
2023-09-27 15:19:26.013289,module1 lick 82
2023-09-27 15:19:26.136915,module1 lick 83
2023-09-27 15:19:26.215832,module1 lick 84
2023-09-27 15:19:26.402713,module1 lick 85
2023-09-27 15:19:26.589550,module1 lick 86
2023-09-27 15:19:26.761328,module1 lick 87
2023-09-27 15:19:29.042900,module1 lick 88
2023-09-27 15:19:29.292504,module1 lick 89
2023-09-27 15:19:29.529840,module1 lick 90
2023-09-27 15:19:29.668931,module1 lick 91
2023-09-27 15:19:29.963711,module1 lick 92
2023-09-27 15:21:35.243458,arm b correct
2023-09-27 15:37:14.233495,arm a correct
2023-09-27 15:37:17.591533,module1 lick 93
2023-09-27 15:37:17.733977,module1 lick 94
2023-09-27 15:37:17.898383,module1 lick 95
2023-09-27 15:37:18.025392,module1 lick 96
2023-09-27 15:37:18.199910,module1 lick 97
2023-09-27 15:37:18.331196,module1 lick 98
2023-09-27 15:37:18.503817,module1 lick 99
2023-09-27 15:37:18.668958,module1 lick 100
2023-09-27 15:37:18.832474,module1 lick 101
2023-09-27 15:37:19.550176,module1 lick 102
2023-09-27 15:37:34.164994,module1 lick 103
2023-09-27 15:37:34.321618,module1 lick 104
2023-09-27 15:37:34.636253,module1 lick 105
2023-09-27 15:37:35.114393,module1 lick 106
2023-09-27 15:37:35.303104,module1 lick 107
2023-09-27 15:37:45.767616,module1 lick 108
2023-09-27 15:37:45.925766,module1 lick 109
2023-09-27 15:37:46.115258,module1 lick 110
2023-09-27 15:37:46.632108,module1 lick 111
2023-09-27 15:37:46.787420,module1 lick 112
2023-09-27 16:11:32.864178,arm b correct
